"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 09 15:29:35 UTC 2022","Sat Apr 09 15:29:35 UTC 2022","226","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create an order with status 'pending'","can create an order with status 'pending'",""
"passed","Sat Apr 09 15:29:37 UTC 2022","Sat Apr 09 15:29:37 UTC 2022","241","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create an order with status 'failed'","can create an order with status 'failed'",""
"passed","Sat Apr 09 15:29:37 UTC 2022","Sat Apr 09 15:29:37 UTC 2022","134","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can update status of an order to 'processing'","can update status of an order to 'processing'",""
"passed","Sat Apr 09 15:29:44 UTC 2022","Sat Apr 09 15:29:44 UTC 2022","74","","Order Search API tests","","Order Search API tests","can search by shipping post code","can search by shipping post code",""
"passed","Sat Apr 09 15:29:25 UTC 2022","Sat Apr 09 15:29:25 UTC 2022","166","","Orders API tests","","Orders API tests","can permanently delete an order","can permanently delete an order",""
"passed","Sat Apr 09 15:29:43 UTC 2022","Sat Apr 09 15:29:43 UTC 2022","74","","Order Search API tests","","Order Search API tests","can search by billing phone","can search by billing phone",""
"passed","Sat Apr 09 15:29:44 UTC 2022","Sat Apr 09 15:29:45 UTC 2022","160","","Shipping methods API tests","","Shipping methods API tests","can add a 'Local pickup' shipping method","can add a 'Local pickup' shipping method",""
"passed","Sat Apr 09 15:29:41 UTC 2022","Sat Apr 09 15:29:41 UTC 2022","137","","Shipping zones API tests","","Shipping zones API tests","can delete a shipping zone","can delete a shipping zone",""
"passed","Sat Apr 09 15:29:36 UTC 2022","Sat Apr 09 15:29:36 UTC 2022","271","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create an order with status 'completed'","can create an order with status 'completed'",""
"passed","Sat Apr 09 15:29:44 UTC 2022","Sat Apr 09 15:29:44 UTC 2022","73","","Order Search API tests","","Order Search API tests","can search by shipping city","can search by shipping city",""
"passed","Sat Apr 09 15:29:13 UTC 2022","Sat Apr 09 15:29:13 UTC 2022","355","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","type","type",""
"passed","Sat Apr 09 15:29:14 UTC 2022","Sat Apr 09 15:29:14 UTC 2022","263","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","price","price",""
"passed","Sat Apr 09 15:29:14 UTC 2022","Sat Apr 09 15:29:14 UTC 2022","153","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","status","status",""
"passed","Sat Apr 09 15:29:41 UTC 2022","Sat Apr 09 15:29:41 UTC 2022","74","","Shipping zones API tests","","Shipping zones API tests","can list all shipping zones","can list all shipping zones",""
"passed","Sat Apr 09 15:29:34 UTC 2022","Sat Apr 09 15:29:34 UTC 2022","87","","Products API tests: CRUD","","Products API tests: CRUD","can view a single product","can view a single product",""
"skipped","Sat Apr 09 15:29:16 UTC 2022","Sat Apr 09 15:29:16 UTC 2022","1","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","popularity (asc)","popularity (asc)",""
"passed","Sat Apr 09 15:29:26 UTC 2022","Sat Apr 09 15:29:26 UTC 2022","226","","Orders API tests List all orders","","Orders API tests List all orders","parent","parent",""
"passed","Sat Apr 09 15:29:43 UTC 2022","Sat Apr 09 15:29:43 UTC 2022","74","","Order Search API tests","","Order Search API tests","can search by billing post code","can search by billing post code",""
"passed","Sat Apr 09 15:29:34 UTC 2022","Sat Apr 09 15:29:34 UTC 2022","101","","Products API tests: CRUD","","Products API tests: CRUD","can update a single product","can update a single product",""
